Assay	UniProt	MR_outcomes	Beta
B4GALT1	P15291	Low density lipoprotein cholesterol levels	0.0305
B4GALT1	P15291	Non-HDL cholesterol levels	0.0406
B4GALT1	P15291	Total cholesterol levels	0.028
B4GALT1	P15291	Type 1 diabetes	-0.2
B4GALT1	P15291	Urate	-0.0508
B4GALT1	P15291	Height	0.0514
B4GALT1	P15291	Low density lipoprotein cholesterol levels	0.038
B4GALT1	P15291	Non-HDL cholesterol levels	0.0506
B4GALT1	P15291	Total cholesterol levels	0.0349
B4GALT1	P15291	Type 1 diabetes	-0.245
B4GALT1	P15291	Urate	-0.0616
BOC	Q9BWV1	Height	-0.0478
BOC	Q9BWV1	Height	-0.0626
BOC	Q9BWV1	Height	-0.084
CCDC80	Q76M96	Body fat mass	0.058
CCDC80	Q76M96	Body fat percentage	0.0536
CCDC80	Q76M96	Height	0.0391
CCDC80	Q76M96	Body fat mass	0.084
CCDC80	Q76M96	Body fat percentage	0.0779
CCDC80	Q76M96	Body fat mass	0.0711
CCDC80	Q76M96	Body fat percentage	0.0643
CCDC80	Q76M96	Height	0.0473
CCDC80	Q76M96	Body fat mass	0.124
CCDC80	Q76M96	Body fat percentage	0.112
CCDC80	Q76M96	Height	0.0824
CD59	P13987	Body mass index	0.0195
CD59	P13987	Urate	-0.0274
CD59	P13987	Body mass index	0.0421
CD59	P13987	Urate	-0.0591
CD59	P13987	Body mass index	0.0455
CD59	P13987	Urate	-0.0688
CD59	P13987	Body mass index	0.0293
CD59	P13987	Urate	-0.0444
CEBPB	P17676	C-reactive protein	-0.315
CEBPB	P17676	Crohn's disease	1.09
CEBPB	P17676	Height	0.186
CEBPB	P17676	Inflammatory bowel disease	1.36
CEBPB	P17676	Ulcerative colitis	1.49
CGREF1	Q99674	Apolipoprotein A1	-0.0303
CGREF1	Q99674	C-reactive protein	-0.0338
CGREF1	Q99674	Glomerular filtration rate (estimated)	-0.00412
CGREF1	Q99674	IGF-1	0.038
CGREF1	Q99674	Low density lipoprotein cholesterol levels	-0.0198
CGREF1	Q99674	Non-HDL cholesterol levels	-0.0315
CGREF1	Q99674	Omega-3 fatty acids	-0.0521
CGREF1	Q99674	Phosphatidylcholines	-0.0472
CGREF1	Q99674	Phosphoglycerides	-0.05
CGREF1	Q99674	Polyunsaturated fatty acids	-0.0473
CGREF1	Q99674	Total cholesterol levels	-0.0429
CGREF1	Q99674	Total cholines	-0.0468
CGREF1	Q99674	Triglycerides	-0.0561
CHRDL2	Q6WN34	Abdominal subcutaneous adipose tissue and gluteofemoral adipose tissue ratio (ASAT/GFAT)	0.0819
CHRDL2	Q6WN34	Abdominal subcutaneous adipose tissue and gluteofemoral adipose tissue ratio (ASAT/GFAT)	0.0945
CHRDL2	Q6WN34	Glomerular filtration rate (estimated)	0.00586
CHRDL2	Q6WN34	Glomerular filtration rate (estimated)	0.00827
CHRDL2	Q6WN34	WHR	0.0549
CLEC5A	Q9NY25	Glomerular filtration rate (estimated)	-0.00455
COL4A1	P02462	Coronary artery disease	-0.144
COL6A3	P12111	Coronary artery disease	0.111
COL6A3	P12111	Forced expiratory volume in 1-second (FEV1)	-0.0392
COL6A3	P12111	Height	-0.0915
COL6A3	P12111	Ascending aorta diameter	-0.598
COL6A3	P12111	Coronary artery disease	0.388
COL6A3	P12111	Descending aorta diameter	-0.53
COL6A3	P12111	Forced expiratory volume in 1-second (FEV1)	-0.104
COL6A3	P12111	Height	-0.0943
COL6A3	P12111	Pulse pressure	2.05
COL6A3	P12111	Height	-0.085
COL6A3	P12111	Ascending aorta diameter	-0.33
COL6A3	P12111	Coronary artery disease	0.207
COL6A3	P12111	Descending aorta diameter	-0.285
COL6A3	P12111	Forced expiratory volume in 1-second (FEV1)	-0.0568
COL6A3	P12111	Height	-0.0515
COL6A3	P12111	Pulse pressure	1.12
COL6A3	P12111	Coronary artery disease	0.269
COL6A3	P12111	Forced expiratory volume in 1-second (FEV1)	-0.0948
CRLF1	O75462	Height	0.0142
CRLF1	O75462	WHR	-0.0341
CRLF1	O75462	Body mass index	-0.0322
CRLF1	O75462	Height	0.0185
CRLF1	O75462	High density lipoprotein cholesterol levels	0.033
CRLF1	O75462	WHR	-0.0432
CRLF1	O75462	Body mass index	-0.033
CRLF1	O75462	Height	0.019
CRLF1	O75462	High density lipoprotein cholesterol levels	0.0354
CRLF1	O75462	WHR	-0.0439
THOP1	P52888	Apolipoprotein B	0.036
THOP1	P52888	Height	0.0269
THOP1	P52888	High density lipoprotein cholesterol levels	0.031
THOP1	P52888	Low density lipoprotein cholesterol levels	0.0575
THOP1	P52888	Non-HDL cholesterol levels	0.0546
THOP1	P52888	Total cholesterol levels	0.0629
ENTPD5	O75356	Educational attainment	0.0156
ENTPD5	O75356	Height	-0.00768
ENTPD5	O75356	Educational attainment	0.0236
ENTPD5	O75356	Height	-0.011
ENTPD5	O75356	Vitamin D	-0.0191
ENTPD5	O75356	Educational attainment	0.0179
ENTPD5	O75356	Height	-0.00837
ENTPD5	O75356	Educational attainment	0.0213
ENTPD6	O75354	Age of initiation of regular smoking	-0.0477
ENTPD6	O75354	Basal cell carcinoma	-0.192
ENTPD6	O75354	Body fat mass	0.0644
ENTPD6	O75354	Body fat percentage	0.0444
ENTPD6	O75354	Body fat-free mass	0.033
ENTPD6	O75354	Body mass index	0.056
ENTPD6	O75354	C-reactive protein	0.0503
ENTPD6	O75354	Height	0.0243
ENTPD6	O75354	Hip circumference	0.0519
ENTPD6	O75354	Triglycerides	0.0384
ENTPD6	O75354	Vitamin D	-0.0417
ENTPD6	O75354	WHR	0.0418
ENTPD6	O75354	Waist circumference	0.0525
ENTPD6	O75354	Weight	0.0567
ENTPD6	O75354	Age of initiation of regular smoking	-0.0856
ENTPD6	O75354	Basal cell carcinoma	-0.344
ENTPD6	O75354	Body fat mass	0.115
ENTPD6	O75354	Body fat percentage	0.0795
ENTPD6	O75354	Body fat-free mass	0.0591
ENTPD6	O75354	Body mass index	0.1
ENTPD6	O75354	C-reactive protein	0.0901
ENTPD6	O75354	Height	0.0435
ENTPD6	O75354	Hip circumference	0.0931
ENTPD6	O75354	Triglycerides	0.0688
ENTPD6	O75354	Urate	0.0822
ENTPD6	O75354	Vitamin D	-0.0748
ENTPD6	O75354	WHR	0.0749
ENTPD6	O75354	Waist circumference	0.0942
ENTPD6	O75354	Weight	0.102
ENTPD6	O75354	Age of initiation of regular smoking	-0.0459
ENTPD6	O75354	Basal cell carcinoma	-0.185
ENTPD6	O75354	Body fat mass	0.0619
ENTPD6	O75354	Body fat percentage	0.0426
ENTPD6	O75354	Body fat-free mass	0.0317
ENTPD6	O75354	Body mass index	0.0538
ENTPD6	O75354	C-reactive protein	0.0483
ENTPD6	O75354	Height	0.0233
ENTPD6	O75354	Hip circumference	0.0499
ENTPD6	O75354	Triglycerides	0.0369
ENTPD6	O75354	Urate	0.0441
ENTPD6	O75354	Vitamin D	-0.0401
ENTPD6	O75354	WHR	0.0401
ENTPD6	O75354	Waist circumference	0.0505
ENTPD6	O75354	Weight	0.0545
ENTPD6	O75354	Body fat mass	0.0225
ENTPD6	O75354	Body fat percentage	0.0149
ENTPD6	O75354	Body mass index	0.0237
ENTPD6	O75354	C-reactive protein	0.0305
ENTPD6	O75354	Triglycerides	0.0152
ENTPD6	O75354	Urate	0.0281
ENTPD6	O75354	Waist circumference	0.019
ENTPD6	O75354	Weight	0.0207
EPHA1	P21709	Low density lipoprotein cholesterol levels	0.00709
EPHA1	P21709	Total cholesterol levels	0.00761
EPHA1	P21709	Total cholesterol levels	0.00813
EPHA1	P21709	Total cholesterol levels	0.00756
EPHA1	P21709	Vitamin D	-0.0328
ESAM	Q96AP7	Diastolic blood pressure	-0.232
ESAM	Q96AP7	Schizophrenia	0.179
ESAM	Q96AP7	Systolic blood pressure	-0.365
ESAM	Q96AP7	Ascending aorta diameter	-0.121
ESAM	Q96AP7	Diastolic blood pressure	-0.511
ESAM	Q96AP7	Schizophrenia	0.307
ESAM	Q96AP7	Systolic blood pressure	-0.821
ESAM	Q96AP7	Diastolic blood pressure	-0.246
ESAM	Q96AP7	Schizophrenia	0.11
ESAM	Q96AP7	Systolic blood pressure	-0.394
FAS	P25445	Pulse pressure	-0.217
FAS	P25445	Systolic blood pressure	-0.287
FAS	P25445	Pulse pressure	-0.204
FAS	P25445	Systolic blood pressure	-0.27
FAS	P25445	Pulse pressure	-0.357
FAS	P25445	Pulse pressure	-0.284
FAS	P25445	Systolic blood pressure	-0.373
FCRL1	Q96LA6	Hyperthyroidism/thyrotoxicosis	0.00251
FCRL1	Q96LA6	Multiple sclerosis	-0.27
FCRL1	Q96LA6	Rheumatoid arthritis	0.168
GDF15	Q99988	Body fat mass	0.0203
GDF15	Q99988	Body fat percentage	0.0157
GDF15	Q99988	Body mass index	0.0181
GDF15	Q99988	High density lipoprotein cholesterol levels	-0.0117
GDF15	Q99988	Weight	0.0168
GDF15	Q99988	Body fat mass	0.0285
GDF15	Q99988	Body mass index	0.0236
GDF15	Q99988	High density lipoprotein cholesterol levels	-0.0162
GDF15	Q99988	Hip circumference	0.0193
GDF15	Q99988	Waist circumference	0.0214
GDF15	Q99988	Weight	0.0218
GDF15	Q99988	Body fat mass	0.0333
GDF15	Q99988	Body fat percentage	0.0259
GDF15	Q99988	Body mass index	0.0309
GDF15	Q99988	Height	0.0112
GDF15	Q99988	High density lipoprotein cholesterol levels	-0.0185
GDF15	Q99988	Weight	0.0267
GDF15	Q99988	Height	-0.0276
GUSB	P08236	Glomerular filtration rate (estimated)	-0.0107
GUSB	P08236	Triglycerides	-0.0375
GUSB	P08236	Glomerular filtration rate (estimated)	-0.0148
GUSB	P08236	Triglycerides	-0.0549
GUSB	P08236	Glomerular filtration rate (estimated)	-0.013
GUSB	P08236	Triglycerides	-0.0476
IGFBP7	Q16270	Body fat percentage	-0.0119
IGFBP7	Q16270	Low density lipoprotein cholesterol levels	0.018
IGFBP7	Q16270	Non-HDL cholesterol levels	0.0181
IGFBP7	Q16270	Total cholesterol levels	0.0138
IGFBP7	Q16270	Body fat percentage	-0.0203
IGFBP7	Q16270	Low density lipoprotein cholesterol levels	0.0287
IGFBP7	Q16270	Non-HDL cholesterol levels	0.0304
IGFBP7	Q16270	Total cholesterol levels	0.022
IGFBP7	Q16270	Apolipoprotein B	0.0251
IGFBP7	Q16270	Body fat percentage	-0.0176
IGFBP7	Q16270	Low density lipoprotein cholesterol levels	0.0237
IGFBP7	Q16270	Non-HDL cholesterol levels	0.0212
IGFBP7	Q16270	Total cholesterol levels	0.0192
IGFBP7	Q16270	Low density lipoprotein cholesterol levels	0.0261
IGFBP7	Q16270	Non-HDL cholesterol levels	0.023
IGFBP7	Q16270	Total cholesterol levels	0.021
KLRB1	Q12918	Hypothyroidism/myxoedema	0.009
KLRB1	Q12918	Multiple sclerosis	-0.335
KLRB1	Q12918	Systemic lupus erythematosus	-0.787
NECTIN2	Q92692	Alzheimer's disease	0.936
NECTIN2	Q92692	Alzheimer's disease	0.723
NECTIN2	Q92692	Body mass index	-0.0355
NECTIN2	Q92692	Low density lipoprotein cholesterol levels	0.114
NECTIN2	Q92692	Non-HDL cholesterol levels	0.127
PLAUR	Q03405	Height	-0.0105
PLXNB2	O15031	Diastolic blood pressure	-0.123
PLXNB2	O15031	Pulse pressure	-0.184
PLXNB2	O15031	Systolic blood pressure	-0.317
PLXNB2	O15031	Body fat-free mass	0.0138
PLXNB2	O15031	Educational attainment	-0.0199
PLXNB2	O15031	Pulse pressure	-0.255
PLXNB2	O15031	Educational attainment	-0.0125
PTPRF	P10586	Attention deficit and hyperactivity disorder	-0.906
PTPRF	P10586	Cognitive performance	0.208
PTPRF	P10586	Educational attainment	0.24
PTPRF	P10586	IGF-1	0.2
QPCT	Q16769	Height	0.024
REN	P00797	Height	0.0975
S100A11	P31949	Height	-0.0459
TNFRSF13B	O14836	Albumin	0.295
TNFRSF13B	O14836	Apolipoprotein A1	0.105
TNFRSF13B	O14836	High density lipoprotein cholesterol levels	0.0595
TNFRSF13B	O14836	Sphingomyelins	0.16
TNFRSF13B	O14836	Total cholesterol levels	0.0548
TNFRSF14	Q92956	Asthma	-0.0263
TNFRSF14	Q92956	Body fat mass	0.095
TNFRSF14	Q92956	Body fat percentage	0.0655
TNFRSF14	Q92956	Body fat-free mass	0.0479
TNFRSF14	Q92956	Hip circumference	0.0827
TNFRSF14	Q92956	Multiple sclerosis	-0.846
TNFRSF14	Q92956	Rheumatoid arthritis	-0.539
TNFRSF14	Q92956	Waist circumference	0.0792
TNFRSF14	Q92956	Weight	0.0877
TNFSF10	P50591	Omega-3 fatty acids	-0.109
TNFSF11	O14788	Crohn's disease	0.651
TNFSF11	O14788	Hypothyroidism/myxoedema	-0.0272
TNFSF11	O14788	Inflammatory bowel disease	0.394
TNFSF11	O14788	Osteoporosis	-0.0141
A1BG	P04217	Body fat mass	0.0186
A1BG	P04217	Body fat percentage	0.0165
A1BG	P04217	Body mass index	0.0151
ABLIM3	O94929	Diastolic blood pressure	-0.751
ABLIM3	O94929	Systolic blood pressure	-1.33
ABO	P16442	Apolipoprotein B	-0.0138
ABO	P16442	Blood clot in the leg (Deep venous thrombosis)	0.0024
ABO	P16442	Fasting insulin	0.0119
ABO	P16442	Low density lipoprotein cholesterol levels	-0.019
ABO	P16442	Non-HDL cholesterol levels	-0.018
ABO	P16442	Total cholesterol levels	-0.0159
ABO	P16442	Blood clot in the lung (Pulmonary embolism)	0.003
ABO	P16442	Pulmonary embolism +/- DVT	0.00304
ABO	P16442	Two hour glucose	0.0419
ABO	P16442	Stroke (large artery stroke)	0.14
ABO	P16442	Very low-density lipoprotein cholesterol	0.0416
ACAA1	P09110	Bulimia nervosa	-0.297
ACAA1	P09110	Bulimia nervosa	-0.352
ACAN	P16112	Forced vital capacity (FVC)	-0.0319
ACAN	P16112	Height	-0.0263
ACAN	P16112	Forced vital capacity (FVC)	-0.0383
ACAN	P16112	Height	-0.0399
ACAN	P16112	Body fat-free mass	0.195
ACAN	P16112	Weight	0.194
ACE	P12821	Alzheimer's disease	-0.0787
ACE	P12821	High density lipoprotein cholesterol levels	-0.00867
ACE	P12821	Triglycerides	0.0104
ACE	P12821	Type 2 diabetes	0.0464
ACE	P12821	Alzheimer's disease	-0.184
ACE	P12821	Body fat percentage	0.0175
ACE	P12821	Body mass index	0.0264
ACE	P12821	Diastolic blood pressure	0.512
ACE	P12821	Height	-0.0202
ACE	P12821	High density lipoprotein cholesterol levels	-0.0179
ACE	P12821	Hypertension	0.0254
ACE	P12821	Pulse pressure	0.28
ACE	P12821	Schizophrenia	-0.122
ACE	P12821	Systolic blood pressure	0.809
ACE	P12821	Triglycerides	0.0182
ACOT13	Q9NPJ3	High density lipoprotein cholesterol levels	-0.0971
ACP1	P24666	Apolipoprotein A1	-0.031
ACP1	P24666	Body mass index	0.0268
ACP1	P24666	Glomerular filtration rate (estimated)	0.0058
ACP1	P24666	High density lipoprotein cholesterol levels	-0.0396
ACP1	P24666	Triglycerides	0.03
ACP1	P24666	Valine	0.0415
ACP1	P24666	Vitamin D	-0.0208
ACVRL1	P37023	Apolipoprotein B	0.0282
ACVRL1	P37023	Apolipoprotein B	0.0441
ACVRL1	P37023	Apolipoprotein B	0.0466
ADA2	Q9NZK5	Height	-0.00651
ADA2	Q9NZK5	Height	0.0471
ADAM22	Q9P0K1	Schizophrenia	-0.142
ADAM22	Q9P0K1	Schizophrenia	-0.166
ADAM22	Q9P0K1	Schizophrenia	-0.144
ADAMTS13	Q76LX8	Total cholesterol levels	0.0196
ADAMTS4	O75173	Alzheimer's disease	0.473
ADAMTS4	O75173	Asthma	-0.0481
ADAMTS4	O75173	Hayfever/allergic rhinitis	0.0301
ADAMTSL2	Q86TH1	Forced vital capacity (FVC)	-0.0976
ADAMTSL2	Q86TH1	Height	0.064
ADAMTSL2	Q86TH1	Forced vital capacity (FVC)	-0.137
ADAMTSL2	Q86TH1	Height	0.0899
ADAMTSL4	Q6UY14	Apolipoprotein A1	-0.112
ADGRF5	Q8IZF2	Height	0.00575
ADH1B	P00325	Body fat mass	0.148
ADH1B	P00325	Body fat percentage	0.117
ADH1B	P00325	C-reactive protein	0.12
ADH1B	P00325	Hip circumference	0.109
ADH1B	P00325	Waist circumference	0.109
ADH1B	P00325	Weight	0.11
ADH4	P08319	Apolipoprotein A1	-0.149
ADH4	P08319	Fasting insulin	-0.076
ADH4	P08319	Height	-0.0349
ADH4	P08319	High density lipoprotein cholesterol levels	-0.104
ADH4	P08319	IGF-1	0.304
ADH4	P08319	Triglycerides	0.105
ADH4	P08319	Apolipoprotein A1	-0.0974
ADH4	P08319	Fasting insulin	-0.0615
ADH4	P08319	High density lipoprotein cholesterol levels	-0.0839
ADH4	P08319	IGF-1	0.246
ADH4	P08319	Triglycerides	0.0849
ADI1	Q9BV57	Body fat mass	0.1
ADI1	Q9BV57	Weight	0.0846
AFP	P02771	Systemic lupus erythematosus	0.945
EGLN1	Q9GZT9	Height	-0.0451
AGT	P01019	Diastolic blood pressure	0.616
AGT	P01019	Systolic blood pressure	0.919
AGT	P01019	Ascending aorta diameter	0.13
AGT	P01019	Diastolic blood pressure	1.02
AGT	P01019	Hypertension	0.0316
AGT	P01019	Systolic blood pressure	1.52
AGT	P01019	Diastolic blood pressure	0.74
AGT	P01019	Hypertension	0.0228
AGT	P01019	Systolic blood pressure	1.08
AHSG	P02765	Low density lipoprotein cholesterol levels	-0.014
AHSG	P02765	Phenylalanine	0.0302
AHSG	P02765	Total cholesterol levels	-0.0152
AHSG	P02765	Total cholesterol levels	-0.0134
AKR1A1	P14550	Apolipoprotein A1	-0.00984
AKR1A1	P14550	Diastolic blood pressure	0.135
AKR1C4	P17516	Body fat-free mass	-0.0239
AKR1C4	P17516	Height	-0.0225
AKR1C4	P17516	IGF-1	-0.0802
AKR1C4	P17516	Total cholesterol levels	0.026
AKR1C4	P17516	Triglycerides	0.0344
AKT3	Q9Y243	Attention deficit and hyperactivity disorder	-0.658
AKT3	Q9Y243	Height	0.0824
AKT3	Q9Y243	IGF-1	-0.477
ALCAM	Q13740	Height	-0.0329
ALCAM	Q13740	Height	-0.0682
ALPP	P05187	Height	-0.0442
AMBP	P02760	Glomerular filtration rate (estimated)	0.0126
AMBP	P02760	Glomerular filtration rate (estimated)	0.0078
AMBP	P02760	Height	0.0388
AMIGO2	Q86SJ2	Apolipoprotein A1	-0.0782
AMIGO2	Q86SJ2	Body mass index	0.102
AMIGO2	Q86SJ2	High density lipoprotein cholesterol levels	-0.0579
AMIGO2	Q86SJ2	Hip circumference	0.0904
AMIGO2	Q86SJ2	Waist circumference	0.0849
AMOTL2	Q9Y2J4	Diastolic blood pressure	-1.85
AMOTL2	Q9Y2J4	Height	-0.207
AMOTL2	Q9Y2J4	Systolic blood pressure	-2.73
ANG	P03950	Microalbuminuria	0.194
ANGPT2	O15123	Height	-0.0292
ANGPT2	O15123	IGF-1	0.0747
ANKMY2	Q8IV38	Body fat percentage	-0.0856
ANKRD54	Q6NXT1	Diastolic blood pressure	1.08
ANPEP	P15144	WHR	0.0798
ANXA11	P50995	Glomerular filtration rate (estimated)	-0.00195
ANXA11	P50995	Glomerular filtration rate (estimated)	-0.00459
ANXA11	P50995	Vitamin D	-0.164
ANXA2	P07355	Height	-0.0209
ANXA2	P07355	Thyroid cancer	-0.829
ANXA2	P07355	High density lipoprotein cholesterol levels	-0.0245
ANXA2	P07355	High density lipoprotein cholesterol levels	-0.0171
ANXA2	P07355	Triglycerides	0.0165
ANXA2	P07355	Body fat mass	-0.0343
ANXA2	P07355	Body fat percentage	-0.0259
ANXA2	P07355	Body mass index	-0.0257
ANXA2	P07355	C-reactive protein	-0.0331
ANXA2	P07355	Creatinine	-0.0445
ANXA2	P07355	Height	-0.0218
ANXA2	P07355	High density lipoprotein cholesterol levels	-0.0195
ANXA2	P07355	Hip circumference	-0.0322
ANXA2	P07355	Type 1 diabetes	0.176
ANXA2	P07355	Weight	-0.0331
ANXA2	P07355	High density lipoprotein cholesterol levels	-0.00911
ANXA2	P07355	Type 1 diabetes	0.0859
ANXA2	P07355	High density lipoprotein cholesterol levels	-0.0113
ANXA2	P07355	Type 1 diabetes	0.107
ANXA4	P09525	Atrial fibrillation	0.111
ANXA4	P09525	Height	0.019
ANXA4	P09525	Atrial fibrillation	0.194
ANXA4	P09525	Height	0.0332
ANXA4	P09525	Atrial fibrillation	0.147
ANXA4	P09525	Forced vital capacity (FVC)	-0.0216
ANXA4	P09525	Height	0.0252
ANXA4	P09525	Atrial fibrillation	-0.936
ANXA4	P09525	Height	-0.186
ANXA5	P08758	WHR	0.084
AOC1	P19801	Apolipoprotein A1	0.0391
AOC1	P19801	Body fat-free mass	-0.044
AOC1	P19801	Diastolic blood pressure	-0.3
AOC1	P19801	Height	-0.0317
AOC1	P19801	High density lipoprotein cholesterol levels	0.0317
AOC1	P19801	Hip circumference	-0.0404
AOC1	P19801	Waist circumference	-0.0367
AOC1	P19801	Weight	-0.0458
AP3B1	O00203	Body fat percentage	-0.146
AP3B1	O00203	Osteoarthritis (knee)	-0.835
AP3B1	O00203	Total cholesterol levels	0.107
AP3B1	O00203	Waist circumference	-0.163
APBB1IP	Q7Z5R6	Low density lipoprotein cholesterol levels	-0.0302
APBB1IP	Q7Z5R6	Non-HDL cholesterol levels	-0.0447
APBB1IP	Q7Z5R6	Total cholesterol levels	-0.0359
APCS	P02743	C-reactive protein	-0.09
APCS	P02743	C-reactive protein	-0.187
APCS	P02743	C-reactive protein	-0.155
APCS	P02743	C-reactive protein	-0.188
APOA2	P02652	High density lipoprotein cholesterol levels	0.118
APOA2	P02652	Triglycerides	-0.104
APOA4	P06727	Apolipoprotein A1	-0.17
APOA4	P06727	Body fat-free mass	0.0185
APOA4	P06727	Concentration of chylomicrons and extremely large VLDL	0.209
APOA4	P06727	Glomerular filtration rate (estimated)	0.00521
APOA4	P06727	High density lipoprotein cholesterol levels	-0.18
APOA4	P06727	Omega-3 fatty acids	0.0597
APOA4	P06727	Remnant cholesterol	0.0617
APOA4	P06727	Saturated fatty acids	0.0672
APOA4	P06727	Very low-density lipoprotein cholesterol	0.146
APOA4	P06727	Apolipoprotein A1	-0.281
APOA4	P06727	Body fat-free mass	0.0305
APOA4	P06727	Concentration of chylomicrons and extremely large VLDL	0.345
APOA4	P06727	Glomerular filtration rate (estimated)	0.0086
APOA4	P06727	High density lipoprotein cholesterol levels	-0.297
APOA4	P06727	Omega-3 fatty acids	0.0986
APOA4	P06727	Remnant cholesterol	0.102
APOA4	P06727	Very low-density lipoprotein cholesterol	0.242
APOB	P04114	C-reactive protein	0.141
APOB	P04114	Coronary artery disease	0.653
APOB	P04114	Docosahexaenoic acid	0.595
APOB	P04114	High density lipoprotein cholesterol levels	-0.0823
APOB	P04114	Low density lipoprotein cholesterol levels	1.33
APOB	P04114	Non-HDL cholesterol levels	1.26
APOB	P04114	Omega-3 fatty acids	0.519
APOB	P04114	Phosphoglycerides	0.693
APOB	P04114	Total cholesterol levels	1.19
APOB	P04114	Vitamin D	-0.175
APOB	P04114	Apolipoprotein B	0.996
APOB	P04114	C-reactive protein	0.0921
APOB	P04114	Concentration of intermediate-density lipoprotein particles	0.743
APOB	P04114	Coronary artery disease	0.43
APOB	P04114	Docosahexaenoic acid	0.39
APOB	P04114	High density lipoprotein cholesterol levels	-0.0534
APOB	P04114	Non-HDL cholesterol levels	0.827
APOB	P04114	Omega-3 fatty acids	0.343
APOB	P04114	Omega-6 fatty acids	0.581
APOB	P04114	Phosphatidylcholines	0.493
APOB	P04114	Phosphoglycerides	0.458
APOB	P04114	Polyunsaturated fatty acids	0.582
APOB	P04114	Remnant cholesterol	0.731
APOB	P04114	Sphingomyelins	0.633
APOB	P04114	Systemic lupus erythematosus	-1.57
APOB	P04114	Total cholines	0.502
APOB	P04114	Triglycerides	0.0966
APOB	P04114	Very low-density lipoprotein cholesterol	0.597
APOB	P04114	Vitamin D	-0.116
APOH	P02749	Apolipoprotein B	-0.0421
APOH	P02749	C-reactive protein	-0.0377
APOH	P02749	Cholelithiasis	0.0029
APOH	P02749	Concentration of chylomicrons and extremely large VLDL	0.0752
APOH	P02749	Concentration of intermediate-density lipoprotein particles	-0.05
APOH	P02749	Coronary artery disease	-0.039
APOH	P02749	Heart failure	-0.062
APOH	P02749	Height	0.0222
APOH	P02749	IGF-1	-0.0563
